sample_id,score,s_sel,s_cond,s_agg,s_nest,s_oth
train.64,0,1.0,1.0,1.0,1.0,1.0
train.68,0,1.0,1.0,1.0,1.0,0.5
train.76,0,0.0,1.0,1.0,1.0,0.5
train.78,1,1.0,1.0,1.0,1.0,1.0
train.82,0,0.4,1.0,0.0,1.0,1.0
train.89,0,0.0,0.5,1.0,1.0,0.5
train.92,0,1.0,1.0,1.0,1.0,0.5
train.105,0,1.0,0.5,1.0,0.0,1.0
train.106,0,1.0,0.5,1.0,0.0,1.0
train.387,1,1.0,1.0,1.0,1.0,1.0
train.390,0,1.0,0.75,1.0,1.0,1.0
train.400,0,1.0,1.0,1.0,1.0,1.0
train.408,0,0.6666666666666666,1.0,1.0,1.0,0.5
train.416,1,1.0,1.0,1.0,1.0,1.0
train.429,0,0.6666666666666666,0.3333333333333333,1.0,0.5,1.0
train.433,0,0.6666666666666666,0.5833333333333333,1.0,1.0,0.5
train.434,0,0.6666666666666666,0.4,0.0,0.0,0.5
train.437,0,0.6666666666666666,0.5,1.0,1.0,0.5
train.448,0,1.0,0.0,1.0,1.0,1.0
train.456,0,0.6666666666666666,1.0,1.0,1.0,0.5
train.458,0,0.6666666666666666,1.0,1.0,1.0,0.5
train.462,1,1.0,1.0,1.0,1.0,1.0
train.472,0,1.0,0.5,1.0,1.0,1.0
train.492,1,1.0,1.0,1.0,1.0,1.0
train.501,0,0.6666666666666666,1.0,1.0,1.0,0.5
train.504,0,1.0,0.5,1.0,1.0,1.0
train.508,0,0.0,0.0,1.0,0.5,1.0
train.509,0,1.0,0.3333333333333333,1.0,0.0,1.0
train.510,0,1.0,0.3333333333333333,1.0,0.0,1.0
train.513,0,0.0,1.0,0.0,1.0,0.5
train.518,1,1.0,1.0,1.0,1.0,1.0
train.520,0,1.0,0.625,1.0,1.0,1.0
train.522,0,0.5,0.5,1.0,1.0,0.5
train.525,0,1.0,0.375,1.0,1.0,1.0
train.527,0,1.0,0.75,1.0,1.0,1.0
train.529,0,1.0,0.6428571428571429,1.0,1.0,1.0
train.531,0,1.0,0.5,1.0,1.0,1.0
train.533,0,1.0,0.47619047619047616,1.0,1.0,1.0
train.535,0,1.0,0.75,1.0,1.0,1.0
train.542,0,0.5,1.0,0.0,1.0,0.0
train.553,1,1.0,1.0,1.0,1.0,1.0
train.560,0,1.0,0.75,1.0,1.0,1.0
train.564,0,0.0,0.0,0.0,1.0,1.0
train.565,0,1.0,0.0,1.0,1.0,0.5
train.566,0,1.0,0.0,1.0,1.0,0.0
train.567,0,0.8,0.5,1.0,1.0,1.0
train.575,0,0.0,1.0,1.0,1.0,1.0
train.593,0,0.0,1.0,1.0,1.0,0.5
train.594,0,0.0,1.0,1.0,1.0,0.5
train.604,0,1.0,0.0,1.0,1.0,1.0
train.624,0,1.0,0.5,1.0,1.0,1.0
train.632,0,1.0,0.5,1.0,1.0,1.0
train.946,0,1.0,0.5,1.0,1.0,1.0
train.951,1,1.0,1.0,1.0,1.0,1.0
train.953,0,1.0,0.5,1.0,1.0,1.0
train.968,0,1.0,0.5,1.0,1.0,1.0
train.970,0,1.0,0.3333333333333333,1.0,0.5,1.0
train.1355,1,0.0,0.5,1.0,1.0,1.0
train.1365,0,1.0,0.5833333333333333,1.0,0.0,1.0
train.1424,1,1.0,1.0,1.0,1.0,1.0
train.1426,1,1.0,0.6666666666666666,1.0,1.0,1.0
train.1435,0,1.0,0.5,1.0,1.0,1.0
train.1436,1,1.0,1.0,1.0,1.0,1.0
train.1439,0,1.0,0.0,1.0,0.0,0.0
train.1448,0,0.5,0.0,1.0,0.0,1.0
train.1449,0,0.5,0.0,1.0,0.0,0.0
train.1452,1,1.0,0.4,1.0,1.0,1.0
train.1458,0,1.0,0.3333333333333333,1.0,1.0,1.0
train.1461,0,1.0,0.0,1.0,0.0,1.0
train.1464,0,1.0,0.5,1.0,1.0,1.0
train.1480,0,0.0,0.45,1.0,1.0,1.0
train.1515,0,0.0,1.0,1.0,1.0,1.0
